Word,Count
starches,50
gravies,50
pud,49
aniseed,49
flatbreads,49
chapati,48
mutton,47
chutneys,47
tripe,47
marbling,47
yogurts,47
drinkable,47
potpie,46
souffles,46
bannock,46
sultana,45
giblet,45
samosa,45
penuche,44
tagliatelle,44
farina,44
bonito,44
twinkie,44
lychees,44
frappe,43
crudites,43
roe,43
briskets,42
sambuca,42
barbeques,42
ragout,42
sundaes,42
sirloins,42
latke,42
spaghettini,41
congee,41
falafels,41
slop,41
mackerel,41
whiting,40
cabbages,40
pernod,40
chapatis,40
coconuts,38
bock,38
escargot,38
tartlet,38
rices,38
emmenthal,38
blts,38
eclair,38
tourtiere,38
stuffings,37
tidbit,37
succotash,37
oleo,37
porkchop,37
pekoe,36
jonathan,36
draught,36
gumdrops,36
broths,36
spritzer,35
octoberfest,35
concoctions,34
blintz,33
liverwurst,33
nosh,32
scallopini,32
monkfish,32
weenies,32
mostaccioli,32
slaws,32
milkshakes,32
blintzes,32
refreshment,32
ails,32
hotpot,31
mulligatawny,31
roulade,31
emmenthaler,31
highball,31
potion,31
intoxicant,31
cornbreads,31
appetisers,31
daiquiri,31
gherkin,31
fudges,31
eclairs,30
crookneck,30
lattes,30
drambuie,30
babka,30
sandwichs,30
strawberrys,30
crumpet,29
flapjacks,29
luncheons,28
lollipop,28
scrapple,28
nougat,28
pilau,28
nightcap,28
hake,28
jimmies,27
teatime,27
pattys,27
manzanilla,27
bourguignon,26
groats,26
boeuf,26
eatable,26
spatchcock,26
gums,25
schnitzels,25
biltong,25
shortbreads,25
canapes,24
codfish,24
milt,24
galliano,24
darjeeling,24
rusks,24
dolmas,24
damson,23
bulghur,23
flapjack,23
sashimi,23
larder,23
hushpuppies,22
rockfish,22
coho,22
sling,22
eel,22
demitasse,22
wassail,22
chews,22
purees,22
confections,22
rugelach,21
bratwursts,21
haggis,21
trifles,21
terrine,21
pepperonis,21
premix,21
anisette,20
beignet,20
coleslaws,20
grinders,20
aperitif,20
seafoods,20
aquavit,20
hotcakes,20
emmental,19
beaujolais,19
bream,19
oatmeals,19
marge,19
ade,19
genoise,18
blini,18
lollipops,18
steamers,18
cockles,18
croquette,18
confectionery,18
rusk,18
sardine,18
alcohols,17
sours,17
risottos,17
flans,17
pickerel,17
vinaigrettes,17
chorizos,16
clabber,16
fryers,16
redfish,16
crappie,16
pilsner,16
crayfish,16
grub,15
naans,15
aspartame,15
partridge,15
nourishment,15
marc,15
weenie,15
oatcakes,14
fricassee,14
veloute,14
sorbets,14
pone,14
refreshments,14
capon,14
frankfurters,14
littleneck,14
hushpuppy,13
challahs,13
delicatessen,13
emmentaler,13
gumdrop,13
butterbeans,13
felafel,13
gateau,13
butty,13
perishable,13
forequarter,13
aspic,13
limpa,12
rums,12
pates,12
scallopine,12
jellos,12
rioja,12
pilafs,12
split-pea,12
matzos,12
strudels,12
scrod,12
sangrias,11
ladyfinger,11
vichyssoise,11
homebrew,11
vegetarianism,11
vol-au-vent,11
escargots,11
whitebait,11
knockwurst,11
rissole,11
fondues,11
grouse,11
canape,11
vodkas,11
blackberrys,11
julep,11
damsons,11
bouillabaisse,11
pease,11
ketchups,11
bisques,10
bap,10
smelts,10
potions,10
tiffin,10
libation,10
turbot,10
pippin,10
slumgullion,10
brews,10
grappa,10
teacakes,10
lemonades,9
gulyas,9
profiteroles,9
tortellinis,9
tipple,9
junket,9
sunchokes,9
bialys,9
intoxicants,9
duff,9
potage,9
zabaglione,9
kippers,9
winesap,9
mousses,9
freestone,9
gammon,9
conserves,9
piroshki,9
chines,9
sukiyaki,9
bonbon,9
pastis,9
shortenings,9
